"16/17" "17/18" "9/11" "17/20" "X/X" "10/14" "30/30" "15/17" "13/14" "6/8" "20/20" "16/18" "15/17" "12/13" "22/23" "X/Y" "13/14" "29/30" "12/19" "14/15" "7/9.3" "22/25" 0.104781 0.0635156 0.0805646 0.0797274 0.111392 0.0531128 0.0911758 0.0773392 0.101128 0.134614 0.0801728 0.0760818 248.007 1933.95 9.59324 105.354
"16/17" "17/18" "9/11" "17/20" "X/X" "10/14" "30/30" "12/17" "14/15" "6/8" "20/20" "16/18" "15/17" "12/13" "22/23" "X/Y" "13/14" "29/30" "15/19" "13/14" "7/9.3" "22/25" 0.243858 0.248175 0.191239 0.278784 0.286425 0.208751 0.26535 0.289568 0.247194 0.236962 0.185417 0.23825 421.894 500.131 43.9662 138.374
"16/17" "15/17" "9/11" "17/20" "X/X" "10/14" "30/30" "12/17" "13/14" "6/8" "20/20" "16/18" "18/18" "12/13" "22/23" "X/Y" "13/14" "29/30" "15/19" "14/15" "7/9.3" "22/25" 0.437636 0.370632 0.39443 0.414195 0.470323 0.401926 0.394271 0.431084 0.419374 0.431878 0.427912 0.415837 1635.8 252.825 86.4535 121.044
"16/17" "17/18" "9/11" "17/20" "X/X" "13/14" "30/30" "12/17" "13/14" "6/8" "20/20" "16/18" "15/17" "12/13" "22/23" "X/Y" "10/13" "29/30" "15/19" "14/15" "7/9.3" "22/25" 0.0480683 0.033386 0.0204331 0.0647826 0.0543245 0.0609926 0.0621715 0.0343954 0.0603064 0.0630066 0.0491621 0.0436865 209.09 3957.27 5.53606 100.296
"16/17" "17/18" "9/11" "20/23" "X/X" "10/14" "30/30" "12/17" "13/14" "6/8" "20/20" "16/18" "15/17" "12/13" "17/22" "X/Y" "13/14" "29/30" "15/19" "14/15" "7/9.3" "22/25" 0.376109 0.352864 0.407286 0.338322 0.44033 0.382605 0.398419 0.353296 0.375778 0.35281 0.345664 0.358083 3229.48 1197.99 74.282 132.369
"16/17" "17/18" "9/11" "17/20" "X/X" "10/13" "30/30" "12/17" "13/14" "6/8" "20/20" "16/18" "15/17" "12/13" "22/23" "X/Y" "14/14" "29/30" "15/19" "14/15" "7/9.3" "22/25" 0.280224 0.344592 0.311072 0.329718 0.324812 0.401023 0.277034 0.317467 0.37177 0.313649 0.362824 0.322324 500.534 285.061 65.2099 135.999
"16/17" "17/18" "9/11" "17/20" "X/X" "10/14" "30/30" "12/17" "13/14" "6/8" "22/25" "16/18" "15/17" "12/13" "22/23" "X/Y" "13/14" "29/30" "15/19" "14/15" "7/9.3" "20/20" 0.383468 0.31859 0.277098 0.322866 0.365475 0.374145 0.379103 0.335316 0.382657 0.388135 0.358289 0.338532 2554.13 1121.81 67.7174 131.361
"16/17" "17/18" "9/11" "17/20" "X/X" "10/14" "30/30" "12/17" "13/14" "7/9.3" "20/20" "16/18" "15/17" "12/13" "22/23" "X/Y" "13/14" "29/30" "15/19" "14/15" "6/8" "22/25" 0.0948607 0.0920409 0.137391 0.0614797 0.110892 0.102379 0.109265 0.0707317 0.098257 0.133532 0.131886 0.103394 365.754 1666.2 13.6504 110.701
"16/17" "17/18" "9/11" "17/20" "X/X" "10/14" "30/30" "12/17" "14/15" "6/8" "20/20" "16/18" "15/17" "12/13" "22/23" "X/Y" "13/14" "29/30" "15/19" "13/14" "7/9.3" "22/25" 0.26028 0.307831 0.245506 0.250206 0.261635 0.265289 0.21764 0.263441 0.246478 0.288154 0.282492 0.257664 1043.62 1028.89 48.0234 136.475
"16/17" "17/18" "9/11" "17/20" "X/X" "10/14" "29/30" "12/17" "13/14" "6/8" "20/20" "16/18" "15/17" "12/13" "22/23" "X/Y" "13/14" "29/29" "15/19" "14/15" "7/9.3" "22/25" 0.24001 0.225304 0.221447 0.231134 0.218384 0.252939 0.215561 0.188946 0.174235 0.271498 0.265905 0.222078 481.683 570.767 39.909 137.295
"16/17" "17/18" "9/11" "17/20" "X/X" "10/14" "30/30" "12/17" "13/14" "6/8" "20/20" "16/18" "15/17" "12/13" "22/23" "X/Y" "13/14" "29/30" "15/19" "14/15" "7/9.3" "22/25" 0.29465 0.279189 0.331893 0.309092 0.309724 0.305129 0.283838 0.356166 0.2943 0.338055 0.318925 0.313283 1640.35 931.548 62.7024 136.252
"16/17" "17/18" "9/11" "17/20" "X/Y" "10/14" "30/30" "12/17" "13/14" "6/8" "20/20" "16/18" "15/17" "12/13" "22/23" "X/Y" "13/14" "29/30" "15/19" "14/15" "7/9.3" "22/25" 0.0704532 0.149024 0.135499 0.14991 0.134863 0.182198 0.0583385 0.0701733 0.0995315 0.0855873 0.0652754 0.0977341 79.7928 369.296 12.1007 103.48
"16/17" "17/18" "9/11" "17/20" "X/X" "10/14" "30/30" "12/17" "13/14" "6/9.3" "20/20" "16/18" "15/17" "12/13" "22/23" "X/Y" "13/14" "29/30" "15/19" "14/15" "7/8" "22/25" 0.33576 0.359434 0.347378 0.360188 0.321149 0.310109 0.365058 0.330345 0.33705 0.37062 0.370011 0.344714 2300.13 960.115 69.2671 130.773
"16/17" "17/18" "9/11" "17/20" "X/X" "10/14" "30/30" "12/17" "13/14" "6/8" "20/25" "16/18" "15/17" "12/13" "22/23" "X/Y" "13/14" "29/30" "15/19" "14/15" "7/9.3" "22/25" 0.224901 0.241848 0.20725 0.216398 0.228325 0.267396 0.23837 0.217818 0.216237 0.223709 0.31924 0.229164 1015.96 1210.21 41.4587 137.091
"16/17" "17/18" "9/13" "17/20" "X/X" "10/14" "30/30" "12/17" "13/14" "6/8" "20/20" "16/18" "15/17" "11/12" "22/23" "X/Y" "13/14" "29/30" "15/19" "14/15" "7/9.3" "22/25" 0.407907 0.37466 0.372182 0.358549 0.396758 0.447108 0.422333 0.381257 0.365715 0.412877 0.375425 0.395689 1785.45 417.457 82.3964 125.312
"16/17" "17/18" "9/11" "17/20" "X/X" "10/14" "30/30" "12/17" "13/14" "6/8" "20/20" "16/18" "15/17" "12/13" "22/23" "X/Y" "13/14" "29/30" "15/19" "13/15" "7/9.3" "22/25" 0.258788 0.292737 0.231114 0.27944 0.257181 0.233357 0.27512 0.294145 0.286414 0.323641 0.273819 0.278649 1288.98 985.788 52.0806 133.234
"16/17" "17/18" "9/12" "17/20" "X/X" "10/14" "30/30" "12/17" "13/14" "6/8" "20/20" "16/18" "15/17" "11/13" "22/23" "X/Y" "13/14" "29/30" "15/19" "14/15" "7/9.3" "22/25" 0.135124 0.193205 0.181411 0.119948 0.182884 0.170844 0.204403 0.26344 0.203082 0.137803 0.159866 0.172924 2362.42 4662.19 26.7797 124.301
"16/17" "17/18" "9/11" "17/20" "X/X" "10/13" "30/30" "12/17" "13/14" "6/8" "20/20" "16/18" "15/17" "12/13" "22/23" "X/Y" "13/14" "29/30" "15/19" "14/15" "7/9.3" "22/25" 0.241195 0.152804 0.187783 0.217841 0.169887 0.214383 0.17042 0.194378 0.191506 0.111563 0.182037 0.184225 330.416 598.449 29.2872 126.26
"16/17" "17/18" "9/11" "17/20" "X/X" "10/14" "30/30" "12/17" "13/14" "6/8" "20/20" "16/18" "15/18" "12/13" "22/23" "X/Y" "13/14" "29/30" "15/19" "14/15" "7/9.3" "22/25" 0.406754 0.376854 0.336652 0.37266 0.41388 0.422774 0.402565 0.433569 0.359307 0.377527 0.395221 0.404171 1558.63 316.141 84.9038 124.691
"16/17" "17/18" "9/11" "17/20" "X/X" "10/14" "30/30" "12/17" "13/14" "6/8" "20/22" "16/18" "15/17" "12/13" "22/23" "X/Y" "13/14" "29/30" "15/19" "14/15" "7/9.3" "22/25" 0.155454 0.116091 0.170212 0.152233 0.137008 0.106351 0.171426 0.123465 0.187072 0.184976 0.154301 0.146987 606.523 1456.97 22.7225 127.063
"16/17" "17/18" "9/11" "17/20" "X/X" "10/14" "30/30" "12/17" "13/14" "6/8" "20/20" "16/18" "15/17" "12/13" "22/23" "X/Y" "13/14" "29/30" "15/19" "15/15" "7/9.3" "22/25" 0.457705 0.47046 0.515958 0.449549 0.493333 0.420536 0.489312 0.460325 0.49016 0.502807 0.473181 0.47083 818.73 23.839 97.0754 108.98
"16/17" "17/18" "12/13" "17/20" "X/X" "10/14" "30/30" "12/17" "13/14" "6/8" "20/20" "16/18" "15/17" "9/11" "22/23" "X/Y" "13/14" "29/30" "15/19" "14/15" "7/9.3" "22/25" 0.118807 0.0756015 0.0582214 0.0464777 0.0271165 0.132844 0.0565617 0.071562 0.07651 0.041713 0.12308 0.0624482 160.665 1605.74 7.08577 92.3674
"16/17" "15/18" "9/11" "17/20" "X/X" "10/14" "30/30" "12/17" "13/14" "6/8" "20/20" "16/18" "15/17" "12/13" "22/23" "X/Y" "13/14" "29/30" "15/19" "14/15" "7/9.3" "22/25" 0.433102 0.437014 0.419251 0.441681 0.4075 0.426183 0.39535 0.45018 0.386382 0.39877 0.477786 0.41091 3374.25 605.328 84.9038 121.286
"16/17" "17/18" "9/11" "17/20" "X/X" "13/14" "30/30" "12/17" "13/14" "6/8" "20/20" "16/18" "15/17" "12/13" "22/23" "X/Y" "10/13" "29/30" "15/19" "14/15" "7/9.3" "22/25" 0.071834 0.0376742 0.062647 0.0384928 0.0229463 0.0473007 0.0536272 0.0668325 0.0767798 0.0399356 0.0175257 0.0423783 66.478 1157.79 5.53606 103.501
"16/17" "17/18" "11/13" "17/20" "X/X" "10/14" "30/30" "12/17" "13/14" "6/8" "20/20" "16/18" "15/17" "9/12" "22/23" "X/Y" "13/14" "29/30" "15/19" "14/15" "7/9.3" "22/25" 0.343871 0.409395 0.367141 0.35962 0.369397 0.392133 0.378217 0.34693 0.396525 0.386387 0.386662 0.381993 6351.91 1703.15 78.3392 126.123
"16/17" "15/18" "9/11" "17/20" "X/X" "10/14" "30/30" "12/17" "13/14" "6/8" "20/20" "16/18" "17/18" "12/13" "22/23" "X/Y" "13/14" "29/30" "15/19" "14/15" "7/9.3" "22/25" 0.11084 0.076334 0.0675354 0.101369 0.119255 0.109263 0.0945873 0.092991 0.0994484 0.081663 0.100156 0.0814929 327.818 2074.42 9.59324 97.8545
"16/17" "17/18" "9/11" "17/20" "X/X" "10/14" "30/30" "12/17" "13/14" "6/8" "25/25" "16/18" "15/17" "12/13" "22/23" "X/Y" "13/14" "29/30" "15/19" "14/15" "7/9.3" "20/22" 0.206355 0.258793 0.188932 0.164865 0.145026 0.168907 0.136229 0.200764 0.142953 0.204263 0.143764 0.178283 410.171 851.763 29.2872 131.378
